,companyName,jobType,location,position,description,Aggregation,ExtendedTags
39,Umgeni Water,Graduate programme,KwaZulu-Natal,Graduate Trainee Programme 2023,"Umgeni Water is offering a thirty six (36) months training programme under the below mentioned fields. Applicants are invited who are currently residing in KwaZulu-Natal province so as to gain practical work experience in the following operations in the organisation.
 
The programme will run for a period of three (3) years.Trainee who have participated in another In-service /Graduate Training Programme before will not be considered in these programme
 
 
The following Graduate Opportunities are open for applications:
 
Catchment Management Grad / Intern
Ref No: GTBSC202301
Bachelor of Science Honours in:Hydrology,
Ecological Science,
Aquatic Ecology,
Water Resources Science
Environmental Science
Chemistry Grad / Intern
Ref No: GTBSC202302Bachelor of Science Chemistry,
Bachelor of Science Honours in Chemistry and Soil Science
Chemical Engineering (In-service Training Programme)
Ref No: INS202301S4 in Chemical Engineering
Applicant Requirements:An appropriate 4 year tertiary qualification
Applicants must be South Africa citizen residing in KwaZulu-Natal.
First preference will be given to applicants who are permanent residence of the identified local municipalities.
The programme is strictly targeting unemployed youth.","South, Chemistry, AfricaNatal, Chemical, Graduate, Opportunities, Honours, Training, Zulu, Programme, Bachelor, Science, Kwa, Engineering, Chemistry, EcologicalWater, Requirements, Trainee, Training, Umgeni, Programme, Applicant","South, north, west, east, western, southern, southeast, africa, korea, northern, northeast, Chemistry, physics, biology, biochemistry, mathematics, sciences, science, physiology, molecular, psychology, engineering, AfricaNatal, Chemical, chemicals, biological, toxic, materials, biochemical, compounds, industrial, components, nuclear, pesticides, Graduate, undergraduate, graduating, harvard, enrolled, graduated, college, graduates, faculty, university, yale, Opportunities, opportunity, possibilities, advantages, advantage, benefit, experience, innovation, resources, development, encourage, Honours, honors, honour, bestowed, knighthood, awarded, knighted, honorary, diploma, prizes, conferred, Training, preparation, skills, teaching, combat, program, trained, instructors, personnel, operations, courses, Zulu, xhosa, inkatha, buthelezi, maori, ifp, kwazulu, sinhala, zulus, māori, malay, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, Bachelor, doctorate, degree, bachelors, graduate, ph.d., b.a., undergraduate, graduated, phd, diploma, Science, sciences, physics, institute, mathematics, studies, research, biology, university, psychology, economics, Kwa, ume, geok, turi, mulumba, sisi, kuku, kriva, fana, gok, labis, Engineering, sciences, technology, technical, science, mechanical, engineers, institute, mathematics, biomedical, physics, Chemistry, physics, biology, biochemistry, mathematics, sciences, science, physiology, molecular, psychology, engineering, EcologicalWater, Requirements, requirement, standards, regulations, required, rules, criteria, limits, guidelines, compliance, require, Trainee, apprentice, full-time, part-time, janitor, technician, recruiter, trainees, paralegal, instructor, tutor, Training, preparation, skills, teaching, combat, program, trained, instructors, personnel, operations, courses, Umgeni, karatoya, kaoping, chongchon, rokel, magothy, chetco, kokcha, indigirka, spaarne, natashquan, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, Applicant, applicants, eligibility, prospective, eligible, apply, criteria, respondent, employer, requirement, determines"
40,PwC,Graduate programme,Nationwide,SAIPA Graduate Programme 2023,"We run our programme alongside the South African Institute of Professional Accountants (SAIPA). Our graduates in this programme serve their articles over three years in our Assurance practice and learn through hands-on coaching.
 
During your time with us you'll gain exceptional business, personal and technical skills which you will be able to use across the business and throughout your career.
 
Locations: Johannesburg, Cape Town, Stellenbosch, Nelspruit, Bloemfontein, Worcester, Emalahleni
 
Responsibilities:Capture transactions in accounting records.
Perform reconciliations.
Perform bookkeeping to balance sheets.
Prepare financial statements.
Perform tax calculations and complete tax returns.
Complete VAT returns.
Perform general accounting functions according to PwC methodologies.
Assist managers with various client matters, including administrative work.
Requirements:A completed or partially completed Financial Accounting degree with the intention to qualify as a professional accountant. 
Skills and Competencies:Great communication and Interpersonal skills, and fluency in English – the ability to communicate in Afrikaans is a plus but not a must.
Computer literacy, with a good knowledge of Pastel, MS Word and MS Excel.","Worcester, JohannesburgAccountants, African, Professional, Financial, Institute, Pastel, South, Stellenbosch, Accounting, NelspruitEmalahleni, Bloemfontein, CompleteExcel","Worcester, norwich, exeter, durham, northampton, peterborough, birmingham, chelmsford, essex, hereford, stamford, JohannesburgAccountants, African, africa, africans, asian, south, nations, continent, country, zimbabwe, american, kenya, Professional, amateur, football, career, player, club, players, playing, team, sports, basketball, Financial, banking, corporate, economic, credit, investment, business, global, management, fund, banks, Institute, research, sciences, studies, science, university, study, academy, foundation, society, professor, Pastel, pastels, shades, monochromatic, watercolor, multicolored, hues, palette, garish, canvases, shimmering, South, north, west, east, western, southern, southeast, africa, korea, northern, northeast, Stellenbosch, paarl, potchefstroom, witwatersrand, kwazulu-natal, khayelitsha, franschhoek, bowral, grahamstown, aberystwyth, witswatersrand, Accounting, auditing, audit, financial, auditors, practices, bookkeeping, management, corporate, disclosure, firms, NelspruitEmalahleni, Bloemfontein, durban, pietermaritzburg, nelspruit, pretoria, rustenburg, transvaal, bulawayo, potchefstroom, polokwane, johannesburg, CompleteExcel"
41,NedBank,Graduate programme,Gauteng,CA Trainee Programme 2023,"Role Purpose: To adhere to the South African Institute of Charted Accountants (SAICA) Training Regulations for the duration of their articles with the Nedbank CA Training Programme.
 
Responsibilities:During the three-year CA training period (articles) within the Nedbank CA Training Programme, trainees will rotate into various divisions within the bank.
Manage deliverables within reasonable turnaround times aligned to the role specifications and rotation whilst adding value by seeking opportunities to improve business processes and systems.
Proactively drive and manager your own Learning and Development in line with prescribed SAICA Technical and Professional Skills Requirements.
Contribute to the Nedbank CA Training Programme by Pro-Actively participation in Programme committees/structures (E.g. Marketing Committee, Recruitment Committee and Social Committee) involvement'. The objective of this participation is to enhance their Professional Development whilst adding value to the Nedbank CA Training Programme.
Contribute to a culture conducive to the achievement of transformation goals by participating in the Nedbank Culture building initiatives. 
Requirements:Bachelor of Commerce: Accounting
SAICA Accredited Accounting Undergraduate Degree","Accountants, Technical, Recruitment, Learning, Professional, Training, Programme, Social, Skills, Requirements, African, Charted, Committee, Culture, Nedbank, Development, Marketing, Contribute, Institute, SouthRole, Purpose","Accountants, auditors, consultants, pricewaterhousecoopers, auditing, examiners, deloitte, professionals, kpmg, bankers, administrators, Technical, engineering, technological, scientific, practical, training, skills, expertise, mechanical, management, academic, Recruitment, recruiting, hiring, mentoring, training, outreach, recruiters, recruits, retention, activities, mobilization, Learning, teaching, knowledge, experience, skills, learn, understanding, education, educational, lessons, studying, Professional, amateur, football, career, player, club, players, playing, team, sports, basketball, Training, preparation, skills, teaching, combat, program, trained, instructors, personnel, operations, courses, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, Social, education, political, cultural, welfare, educational, reform, health, public, environment, environmental, Skills, skill, abilities, talents, expertise, learning, ability, knowledge, experience, talent, techniques, Requirements, requirement, standards, regulations, required, rules, criteria, limits, guidelines, compliance, require, African, africa, africans, asian, south, nations, continent, country, zimbabwe, american, kenya, Charted, charting, charts, chart, peaked, peaking, billboard, albums, number-one, r&b, debuted, Committee, committees, commission, council, chairman, board, panel, subcommittee, chaired, representatives, congress, Culture, cultural, cultures, traditions, tradition, religion, history, society, civilization, art, politics, Nedbank, cosafa, twenty-20, vodacom, dunhill, absa, invitational, sundarbans, canada-russia, jeonju, everland, Development, projects, project, developing, environment, research, economic, cooperation, planning, develop, creation, Marketing, advertising, business, merchandising, product, management, corporate, brand, company, strategy, creative, Contribute, contributes, encourage, reduce, benefit, promote, enhance, improve, achieve, expand, accelerate, Institute, research, sciences, studies, science, university, study, academy, foundation, society, professor, SouthRole, Purpose, purposes, means, rather, objective, intended, thus, knowledge, particular, practical, aim"
42,Philips,Graduate programme,Gauteng,Graduate Programme 2023,"We have been successfully running the Graduate programme in South Africa for the last six years and this year we again expecting to bring onboard talented fresh graduates who will during the 12 months of Internship not just learn to work but work to learn! 
 
You must be a South African Graduate and have completed all modules/credits for the requied qualification.
 
Start Date: 01 March 2023
Duration: 12 months contract
 
 
The following Graduate Opportunities are open for applications:
 
Sales Support Specialist Graduate programmeBachelor’s Degree in Supply Chain Management or any equivalant degree
Marketing Specialist Graduate programmeBachelor’s Degree / Diploma in: Marketing or any other relevant field
Credits and Collections Specialist Graduate programmeFinance background or any degree equivalent
Bench Service Technician Graduate programme
3 year Degree in:Electrical Engineering
Clinical Engineering
or SAQA accredited EquivalentAdvantageous: 0 – 6 months experience in a Bench Repair, or technical repair role (advantage)Field Service Junior Engineer Graduate programmeBachelor’s Degree in Engineering: Light Current/ Computer Systems completed /Biomedical Engineering
Sales Specialist Graduate programmeBachelor’s Degree or equivalent
Skills and Competencies:Fluent in English, verbal and written in addition to local language
Exceptional written, verbal and presentation skills
Ability to quickly learn new concepts and processes
Computer literacy","Repair, BenchSouth, AfricaSkills, Graduate, Bench, Opportunities, Management, Computer, Systems, Current, Service, Supply, Chain","Repair, repairs, maintenance, repairing, repaired, damaged, rebuild, damage, upgrade, rebuilding, cleaning, BenchSouth, AfricaSkills, Graduate, undergraduate, graduating, harvard, enrolled, graduated, college, graduates, faculty, university, yale, Bench, locker, players, rested, sitting, starters, lineup, game, back, forward, dugout, Opportunities, opportunity, possibilities, advantages, advantage, benefit, experience, innovation, resources, development, encourage, Management, financial, business, managers, investment, development, consulting, managing, marketing, corporate, asset, Computer, computers, software, technology, pc, hardware, internet, desktop, electronic, systems, computing, Systems, system, technologies, equipment, technology, software, computer, devices, components, communications, communication, Current, the, present, change, this, its, term, same, future, new, previous, Service, services, public, network, private, system, business, provided, available, information, access, Supply, supplies, fuel, electricity, demand, shortage, oil, capacity, food, gasoline, equipment, Chain, chains, stores, store, supermarket, grocery, retail, retailer, restaurants, shop, supermarkets"
43,Colgate,Graduate programme,Gauteng,Graduate Programme 2023,"Successful candidates will gain learning experience via job rotations and project assignments. Upon successful completion of the 24-month program, the Interns can be offered a permanent role in the company based on performance and business needs.
 
 
The following Graduate Opportunities are open for applications:
 
HR Graduate/TraineeHR or Industrial Psychology Degree (Honours) or equivalent qualification.
Finance Graduate Programme
B.Com Honours Degree in either;Accounting Science
Financial Science
Taxation
Economics
Statistics
Data Science
Skills and CompetenciesPossess analytical & problem-solving skills
Excellent oral and written communication skills
Result-focused with strong leadership, and able to work well in a team-oriented environment
Strong implementation/team building/collaboration and project management skills
Outspoken","Skills, Industrial, Graduate, Opportunities, Interns, Competencies, Financial, Statistics, Economics, Taxation, Degree, Possess, Data, Psychology, Science","Skills, skill, abilities, talents, expertise, learning, ability, knowledge, experience, talent, techniques, Industrial, manufacturing, industries, sector, sectors, agricultural, construction, machinery, textile, industry, mining, Graduate, undergraduate, graduating, harvard, enrolled, graduated, college, graduates, faculty, university, yale, Opportunities, opportunity, possibilities, advantages, advantage, benefit, experience, innovation, resources, development, encourage, Interns, tutors, nannies, assistants, staffers, internships, trainees, housekeepers, nurses, mentors, recruiters, Competencies, competences, competence, competency, self-discipline, strengths, methodologies, qualifications, teamwork, proficiencies, abilities, Financial, banking, corporate, economic, credit, investment, business, global, management, fund, banks, Statistics, figures, report, data, statistic, bureau, according, estimates, statistical, survey, gdp, Economics, sociology, professor, science, philosophy, psychology, mathematics, sciences, physics, harvard, institute, Taxation, tax, taxes, excise, regulation, policies, regulations, avoidance, income, laws, tariff, Degree, bachelor, doctorate, graduate, degrees, undergraduate, graduated, ph.d., graduating, phd, b.a., Possess, possessed, possesses, possessing, obtain, sufficient, ability, capable, abilities, produce, carry, Data, information, analysis, tracking, database, system, computer, statistics, systems, applications, numbers, Psychology, sociology, philosophy, anthropology, biology, psychiatry, neuroscience, science, professor, studies, economics, Science, sciences, physics, institute, mathematics, studies, research, biology, university, psychology, economics"
44,Western Cape Government Corporate Services Centre,Graduate programme,Cape Town,Graduate Programme 2023,"The Western Cape Government: Corporate Services Centre invites unemployed South African graduates residing in the Western Cape to apply for the Graduate Programme for 2023/2024.
 
The Graduate Programme is a Youth Development Programme which will provide successful interns the opportunity to gain practical work experience for a period of 3-24 months.
 
Requirements:You are in possession of a completed Certificate (NQF 5) or Diploma (NQF 6) or Degree (NQF 7) or Post Graduate Qualification (NQF 8 and higher);
You are a South African citizen and reside in the Western Cape;
You are between the ages of 20 and 35;
You desire an opportunity to gain practical work experience.
Skills and Competencies:Good communication (written and verbal) skills in at least two of the official languages of the Western Cape;
Proven computer literacy (MS Office);
Ability to operate office equipment;
Planning and organising skills.","Skills, The, Graduate, Competencies, Post, Development, Good, Qualification, Programme, Youth, OfficeDegreeCertificate","Skills, skill, abilities, talents, expertise, learning, ability, knowledge, experience, talent, techniques, The, this, part, one, of, same, first, on, its, as, that, Graduate, undergraduate, graduating, harvard, enrolled, graduated, college, graduates, faculty, university, yale, Competencies, competences, competence, competency, self-discipline, strengths, methodologies, qualifications, teamwork, proficiencies, abilities, Post, office, times, news, end, following, new, time, first, newspaper, recently, Development, projects, project, developing, environment, research, economic, cooperation, planning, develop, creation, Good, better, sure, really, kind, very, we, way, think, thing, 're, Qualification, qualifying, qualify, qualified, qualifiers, play-off, qualifications, champions, uefa, tournament, championship, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, Youth, student, boys, community, education, girls, students, national, professional, women, soccer, OfficeDegreeCertificate"
45,Mercedes-Benz,Graduate programme,Gauteng,Financial Services Graduate Programme 2023,"We currently have an exciting opportunity for recently qualified graduates to join our Graduate Development Programme (GDP) in 2023. This internship takes workplace learning to a completely new level, encouraging you to exceed business needs and work in collaborative teams who are just as passionate as you are.
 
The Graduate Development Programme is a 24-month programme aimed at developing recently qualified graduates whose ideas, ambitions, and leadership potentials will help shape the future of MBFS SA. 
 
Required Fields of study:Fraud Risk & Compliance
Sales
IT
Marketing
Accounting
Operations
Applicant Requirements:Matric + 3 year Diploma/Degree (in any of the above mentioned fields of study)
Recently qualified graduates within the last 3 years (Advantageous: postgraduate degree )
South African Citizen, or permanent resident of South Africa","South, AfricaThe, Graduate, Fraud, Development, Compliance, Programme, RiskRequired, Fields","South, north, west, east, western, southern, southeast, africa, korea, northern, northeast, AfricaThe, Graduate, undergraduate, graduating, harvard, enrolled, graduated, college, graduates, faculty, university, yale, Fraud, bribery, corruption, embezzlement, charges, evasion, irregularities, alleging, theft, laundering, allegations, Development, projects, project, developing, environment, research, economic, cooperation, planning, develop, creation, Compliance, comply, requirements, implementation, standards, verification, supervision, inspections, obligations, complying, disarmament, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, RiskRequired, Fields, field, areas, natural, agricultural, well, projects, surrounding, farming, land, development"
46,Toyota,Graduate programme,KwaZulu-Natal,Graduate Programme 2023,"Toyota invites graduates to share in a journey aimed at producing future leaders through its exciting Graduate Programme. Toyota is based in Durban and Johannesburg, with the opportunity of a structured journey with wide career progression in various sectors.
 
NB. Applicants must have completed or be in their final year of studying the required qualification
 
 
The following Internship Opportunities are open for applications:
 
Data Science Graduate TraineeDegree in Data Science: Statistics or Mathematics
IT Graduate TraineeBSc or Btech Degree in IT
Econometrics Graduate TraineeDegree or Post Graduate in Econometrics
Mechatronics Graduate TraineeDegree or post graduate in Mechatronics
Marketing Graduate TraineeDiploma or Bcom Degree in Marketing
Business Management Graduate TraineeDiploma or Bcom Degree Business Management
Computer and Electronic Engineering​​​​​​​​​​​​​​​​​​​​​​​​​​​​ Graduate TraineeDegree in Computer and Electronic engineering
Electrical Engineering​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ Graduate TraineeNational Diploma or Degree in Electrical Engineering
Financial Accounting​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​ Graduate TraineeBcom Degree Financial Accounting
Industrial Engineering​​​​​​​ Graduate TraineeNational diploma or Degree in Industrial Engineering
Human Resources​​​​​​​ Graduate Trainee
Degree or postgraduate in:Human Resources
or Industrial Psychology
Mechanical Engineering​​​​​​​​​​​​​​ Graduate TraineeNational diploma or Degree in Mechanical Engineering
Supply Chain Management​​​​​​​ Graduate TraineeBcom Degree in Supply Chain Management
Computer Science​​​​​​​ Graduate TraineeBSc Computer Science
Management Accounting​​​​​​​ Graduate TraineeBcom Degree Management Accounting
Qualified Chartered Accountants Graduate TraineeApplicants must be qualified Chartered Accountants 
Applicants who have at least 1 year of experience
Must have served articles at any of the BIG 4 Firms
Applicants must be SAICA registered or eligible for registration
Cost Management​​​​​​​​​​​​​​ Graduate TraineeBcom Honours in Cost Management
Management Accounting- CIMA/CGMA Graduate TraineeApplicants must have completed a Bcom Honours in Management Accounting
Applicants must have CIMA or CGMA accreditation
Electronics Graduate TraineeBsc Electronics
Chemical Engineering​​​​​​​ Graduate TraineeNational diploma or Degree in Chemical Engineering
Skills and Competencies
What we look for:Individuals who are agile learners and who are committed to self-development.
Individuals who demonstrate leadership qualities.
Individuals who share our values.
Individuals who share our passion for change and improvement.
Academic proficiency
Applicants are required to be South African citizens","JohannesburgDurban, Electronic, Opportunities, Financial, Human, Mechatronics, Management, Degree, Electronics, Applicants, Industrial, Graduate, Statistics, Computer, Programme, Bcom, Skills, Trainee, Business, Toyota, Chain, Data, Psychology, Diploma, Cost, Chemical, Mechanical, Firms, Marketing, Bsc, Econometrics, Internship, Supply, Science, Engineering, AccountingTrainee, Graduate, Bcom, Btech, Degree, DiplomaCompetenciesElectrical, Financial, Supply, Engineering, Chain","JohannesburgDurban, Electronic, digital, computer, computerized, devices, automated, technology, internet, computers, systems, electronics, Opportunities, opportunity, possibilities, advantages, advantage, benefit, experience, innovation, resources, development, encourage, Financial, banking, corporate, economic, credit, investment, business, global, management, fund, banks, Human, animal, rights, humans, animals, body, nature, beings, organization, scientific, common, Mechatronics, bio-technology, bio-medical, bioprocess, geomatics, mechatronic, electronical, hydraulics, bioengineering, component-based, psychophysics, Management, financial, business, managers, investment, development, consulting, managing, marketing, corporate, asset, Degree, bachelor, doctorate, graduate, degrees, undergraduate, graduated, ph.d., graduating, phd, b.a., Electronics, semiconductor, manufacturing, automotive, industries, machinery, maker, semiconductors, manufacturers, aerospace, manufacturer, Applicants, applicant, eligible, graduates, prospective, admissions, recipients, apply, undergraduates, enroll, eligibility, Industrial, manufacturing, industries, sector, sectors, agricultural, construction, machinery, textile, industry, mining, Graduate, undergraduate, graduating, harvard, enrolled, graduated, college, graduates, faculty, university, yale, Statistics, figures, report, data, statistic, bureau, according, estimates, statistical, survey, gdp, Computer, computers, software, technology, pc, hardware, internet, desktop, electronic, systems, computing, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, Bcom, bsba, btech, bmus, b.com, b.b.a., ed.d, bsee, m.b.a, j.s.d., s.j.d., Skills, skill, abilities, talents, expertise, learning, ability, knowledge, experience, talent, techniques, Trainee, apprentice, full-time, part-time, janitor, technician, recruiter, trainees, paralegal, instructor, tutor, Business, industry, companies, businesses, marketing, company, corporate, financial, market, investment, management, Toyota, honda, nissan, automaker, mazda, bmw, ford, motors, volkswagen, prius, chrysler, Chain, chains, stores, store, supermarket, grocery, retail, retailer, restaurants, shop, supermarkets, Data, information, analysis, tracking, database, system, computer, statistics, systems, applications, numbers, Psychology, sociology, philosophy, anthropology, biology, psychiatry, neuroscience, science, professor, studies, economics, Diploma, postgraduate, certificate, post-graduate, diplomas, doctorate, phd, baccalaureate, undergraduate, doctoral, bachelor, Cost, costs, pay, increase, expense, than, amount, reduce, increases, expenses, reduced, Chemical, chemicals, biological, toxic, materials, biochemical, compounds, industrial, components, nuclear, pesticides, Mechanical, electrical, engineering, hydraulic, mechanics, technical, hydraulics, physics, structural, components, design, Firms, companies, businesses, corporations, investment, banks, industry, firm, sector, business, managers, Marketing, advertising, business, merchandising, product, management, corporate, brand, company, strategy, creative, Bsc, hons, b.sc, phd, ph.d, m.sc, bachelor, mphil, doctorate, b.a., bachelors, Econometrics, climatology, criminology, econometric, geomorphology, cybernetics, maplewood, geology, kisco, hydrogeology, microeconomics, Internship, apprenticeship, internships, sabbatical, residencies, post-graduate, semester, undergraduate, vocational, secretarial, part-time, Supply, supplies, fuel, electricity, demand, shortage, oil, capacity, food, gasoline, equipment, Science, sciences, physics, institute, mathematics, studies, research, biology, university, psychology, economics, Engineering, sciences, technology, technical, science, mechanical, engineers, institute, mathematics, biomedical, physics, AccountingTrainee, Graduate, undergraduate, graduating, harvard, enrolled, graduated, college, graduates, faculty, university, yale, Bcom, bsba, btech, bmus, b.com, b.b.a., ed.d, bsee, m.b.a, j.s.d., s.j.d., Btech, bsba, bsee, b.eng, b.e, b.s, m.mus, mtech, m.b.b.s, bmus, b.mus, Degree, bachelor, doctorate, graduate, degrees, undergraduate, graduated, ph.d., graduating, phd, b.a., DiplomaCompetenciesElectrical, Financial, banking, corporate, economic, credit, investment, business, global, management, fund, banks, Supply, supplies, fuel, electricity, demand, shortage, oil, capacity, food, gasoline, equipment, Engineering, sciences, technology, technical, science, mechanical, engineers, institute, mathematics, biomedical, physics, Chain, chains, stores, store, supermarket, grocery, retail, retailer, restaurants, shop, supermarkets"
47,Deloitte,Graduate programme,Nationwide,Internal Controls & Assurance Graduate Programme 2023,"The Internal Controls and Assurance (“IC&A”) Graduate Programme forms part of the Risk Advisory (“RA”) Academy and is a performance enhancement programme where young people engage with each other and our leadership, through peer-to-peer and conversation and experiential coaching and mentoring to support the development of critical skills needed in the business environment.
 
As a young graduate employed in the IC&A graduate programme within the RA Academy, you will be upskilled to serve clients with distinction so that we continue to be entrenched as the strongest and most valued brand amongst our competitors. 
 
What you will do?deployment on client engagements and support in the delivery of services to / at client premises on delegated engagements / projects. 
Acquiring an understanding of how daily tasks contribute to the priorities of the business. Understand the firm’s purpose & values and explores opportunities for impact. 
What will you gain?Project Management, including Agile Internal Audit and change management
Critical Thinking, complex problem solving and design thinking
Analytics, digital & traditional business analysis
Collaboration savvy across business networks and teamwork in virtual environments
Emotional Intelligence and relationship building skills, including Storytelling, Dialogue, Facilitation and Coaching 
Requirements:
Appropriate B. Degree or equivalent in the following fields:Internal Auditing
Accounting
Financial Accounting,
Risk Management,
Financial Management
or Other IC&A related degrees.","Academy, Thinking, The, Audit, Graduate, Critical, Financial, Agile, Internal, Controls, Advisory, Management, Facilitation, Auditing, Assurance, Programme, Risk, AccountingStorytelling, Degree, Appropriate","Academy, arts, school, institute, college, sciences, university, graduate, science, graduating, graduated, Thinking, mind, 're, think, thought, idea, talking, 'm, things, doing, maybe, The, this, part, one, of, same, first, on, its, as, that, Audit, auditing, audits, auditors, auditor, accounting, oversight, review, evaluation, appraisal, irs, Graduate, undergraduate, graduating, harvard, enrolled, graduated, college, graduates, faculty, university, yale, Critical, important, crucial, significant, serious, particular, key, particularly, attention, vital, major, Financial, banking, corporate, economic, credit, investment, business, global, management, fund, banks, Agile, nimble, resourceful, adaptable, intelligent, versatile, skillful, industrious, astute, maneuverable, adept, Internal, external, ongoing, security, problems, investigations, control, political, investigation, current, source, Controls, control, controlled, controlling, power, restrictions, system, allows, grip, limits, regulation, Advisory, committee, panel, commission, board, review, recommendations, committees, council, recommendation, expert, Management, financial, business, managers, investment, development, consulting, managing, marketing, corporate, asset, Facilitation, liberalization, liberalisation, harmonization, facilitating, co-operation, harmonisation, integration, facilitated, linkages, facilitate, Auditing, audit, auditors, audits, accounting, oversight, auditor, accountancy, accountants, pricewaterhousecoopers, deloitte, Assurance, assurances, guarantee, satisfaction, trust, guarantees, guidance, clarity, adequate, assure, assessment, Programme, programmes, program, programs, project, bbc, development, projects, funding, educational, activities, Risk, risks, danger, exposure, potential, cause, avoid, consequences, likelihood, serious, potentially, AccountingStorytelling, Degree, bachelor, doctorate, graduate, degrees, undergraduate, graduated, ph.d., graduating, phd, b.a., Appropriate, necessary, specific, proper, relevant, certain, effective, manner, acceptable, reasonable, apply"
48,DataOrbis,Graduate programme,Cape Town,Graduate Programme 2023,"At DataOrbis, you will embark on a journey into a world of work that is ever changing and agile that will push you to think out of the box and immerse yourself in our industry.
 
With roles within both our DevOps, Data Visualisation, Service Desk Support, IT Security, Cloud Engineering and Software Development teams, you can expect to connect and engage with brilliant people in a goal driven environment who will assist and support you in performing at your best and work within a team that is passionate, engaged, and thrives on innovation.
 
Requirements:
A tertiary qualification in:Business Science
Marketing,
BCom IS,
Economics,
Statistics,
Business Administration,
Market Research
or equivalent. 
NB. Any industry related working experience in FMCG, Customer Insights, Market Research, Data Management and Processing or Insights and Analytics would be an advantage but is not a necessary requirement.Skills and Competencies:High proficiency in Microsoft Office (Windows, Outlook, Excel, Word, Project, Team).
Highly numerate with excellent attention to detail.
Flexible and agile with the ability to work on multiple concurrent projects.
Excellent time management skills with the ability to prioritise and execute tasks to meet deadlines as specified.
Proactive and confident with the ability to communicate progress, developments and difficulties encountered on an ongoing basis.
 The ability to work under pressure
A strong team player with an impeccable work ethic
Effective time management skills in order to meet deliverable and deadlines
Excellent interpersonal and communication skills in order to communicate progress and developments
Strong attention to detail
Innovative and results driven
Passionate and self-motivated with a sound values and belief system","Software, Team, Visualisation, Administration, Management, Ops, Market, Project, Com, Business, Data, Orbis, Development, Dev, Microsoft, Marketing, Economics, Processing, Research, Office, ScienceDesk, Cloud, Insights, Word, Customer, Support, EngineeringExcelAnalytics, Insights","Software, computer, hardware, microsoft, applications, technology, server, user, computers, desktop, web, Team, teams, squad, football, players, coach, player, league, season, soccer, championship, Visualisation, visualization, visualizations, workflow, texturing, deduplication, curation, transcoding, microfluidics, wood-carving, collocation, Administration, government, policy, bush, congress, officials, clinton, office, department, federal, washington, Management, financial, business, managers, investment, development, consulting, managing, marketing, corporate, asset, Ops, paratroop, sof, afterschool, slugging, intranets, nightwatch, obp, mnf, cubicle, condominiums, Market, markets, stock, prices, stocks, investors, retail, business, consumer, trading, price, Project, projects, development, program, plan, construction, plans, work, initiative, part, build, Com, dot, harrynytimes, e, telegram, pager, nn, coms, web, berrisnytimes, internet, Business, industry, companies, businesses, marketing, company, corporate, financial, market, investment, management, Data, information, analysis, tracking, database, system, computer, statistics, systems, applications, numbers, Orbis, terrarum, theatrum, descriptio, terrae, consulta, telos, vestnik, shambhala, morpho, íslands, Development, projects, project, developing, environment, research, economic, cooperation, planning, develop, creation, Dev, kapil, narayan, nanak, raj, murthy, mohan, aditya, kumar, anand, sanjay, Microsoft, google, netscape, ibm, intel, software, yahoo, apple, aol, compaq, oracle, Marketing, advertising, business, merchandising, product, management, corporate, brand, company, strategy, creative, Economics, sociology, professor, science, philosophy, psychology, mathematics, sciences, physics, harvard, institute, Processing, processes, processed, manufacturing, storage, applications, materials, data, distribution, products, equipment, Research, studies, study, scientific, institute, science, researchers, analysis, development, laboratory, researcher, Office, offices, house, department, administration, post, government, public, official, officials, headquarters, ScienceDesk, Cloud, clouds, ash, dust, sky, mist, fog, shadow, smoke, swirling, shadows, Insights, insight, perspectives, knowledge, clues, gleaned, anecdotes, experiences, fascinating, discoveries, ideas, Word, phrase, meaning, words, name, language, literally, names, text, means, simply, Customer, customers, employee, user, business, phone, product, clients, consumers, subscriber, employees, Support, supported, backing, supporting, efforts, supports, leadership, effort, for, government, help, EngineeringExcelAnalytics, Insights, insight, perspectives, knowledge, clues, gleaned, anecdotes, experiences, fascinating, discoveries, ideas"
